" ",transaction_id,product_id,category,unit_price,quantity,total,timestamp
0,fbe2f35d-29fe-4a51-95fa-8a37563467b6,c95b1e52-c0ad-44ac-b569-328732b3c284,fruit,2.94,4,11.76,2012-11-30 14:06:28
1,0aace3a4-7f59-4c3c-add5-348f02ecbb7a,9e81ff91-4a02-4739-aac0-0fb3065026d6,fruit,1.97,2,3.94,2015-08-20 05:52:40
2,ec19d65c-2a62-4de9-942d-624ab4cfe999,1ffed4ab-c2e2-43aa-8f11-ec763e4e7249,fruit,2.93,5,14.65,2010-12-16 16:38:33
3,aa3aadc9-c3d0-45f4-9835-2bec0477b701,fc49c2d5-7150-49e4-beee-20ec2cd577ed,fruit,1.48,1,1.48,2012-05-19 12:24:24
4,7183edba-8336-4eb0-a44e-b63b00fcd1ee,954bcb8c-62b7-4ad6-8fc3-a80b1858c3f0,fruit,2.74,2,5.48,2015-02-25 02:51:25
5,912388d1-5c47-4dfe-8133-2f1d3f33070d,6d5d50c7-792a-412b-a166-368df9f4afdf,fruit,2.24,5,11.200000000000001,2015-10-30 16:50:05
6,cd5fd351-a4b8-4f49-8966-7874f8e1c65d,bbaf4d78-7580-4a2d-bbd3-b37de68ffe07,fruit,1.41,2,2.82,2013-08-08 19:43:46
7,2e3369e5-5235-4e28-9b6c-6a4dd5127152,821fcc42-e2ee-42df-ab3a-905c6e40c4b1,fruit,1.63,4,6.52,2013-11-13 23:45:56
8,f1da9af0-f862-4f12-a731-f177992686c6,66fcc957-65ee-4ef3-b77e-5e5ae0f83b39,fruit,2.22,3,6.66,2023-08-11 14:43:47
9,228b11b5-6ddc-4981-872d-a5e25704963c,f1b70e86-5497-414d-bab8-46a522c60fec,fruit,3.4,2,6.8,2012-03-08 21:31:41
10,cdd46db0-c7be-45da-b1a3-13d5520adc4e,c510692d-8b62-4cce-8aa3-419cbf487137,fruit,2.22,4,8.88,2016-01-28 13:55:57
11,9ff4db00-99b1-429a-977a-4dfa5b074586,001fce92-89a5-43f9-a48d-fe763f486477,fruit,3.4,5,17.0,2011-08-16 13:00:43
12,4561834e-768e-44f6-8582-da39813562db,0236f38a-c07d-4543-87c6-b505642f18bf,fruit,2.66,3,7.98,2016-12-20 02:00:45
13,9ac8a9ec-ec3c-4ac4-ba75-21f28456a75d,88e28adc-4472-49f7-ba5e-750cf31a1f95,fruit,4.33,2,8.66,2015-05-12 07:24:50
14,b054495e-d8ba-488c-ac49-b4fa6b269ed4,499bb1b0-e822-4aa6-8276-f97d4b9dbede,fruit,2.38,5,11.899999999999999,2022-07-08 16:24:07
15,200f4906-f1c0-4157-88ae-7ec3e35cbb8d,f9eabe71-8147-4735-8201-0002de3fd8ed,fruit,4.2,1,4.2,2023-12-21 12:58:05
16,13793ce8-2487-4d37-af69-2ff61f4ce6f9,ea898845-a1de-4de4-bf9b-3af012d9ce72,fruit,4.17,2,8.34,2011-01-31 13:52:35
17,253b0f5b-58c1-45d4-8ba6-3cb22e18b937,69834234-e3c6-428c-89cd-ab62856749a1,fruit,1.36,1,1.36,2017-12-17 09:50:57
18,b3247e80-63ee-46c9-a25d-42db106a7b0a,ddd58cc1-ec6f-45a8-8ea8-aaf5809939ef,fruit,4.57,2,9.14,2013-01-21 14:59:38
19,bc943b6f-9954-4c79-94d2-295e1e372bef,3894849b-2fda-48e5-a284-005c1106b0f1,fruit,3.62,3,10.86,2013-06-19 12:38:59
20,42473a67-5d4a-47ed-89aa-460336671f58,5cb37678-7674-427c-8d61-b1d567487a21,fruit,3.39,3,10.17,2022-09-08 10:15:06
21,cd7ee81a-f056-4c9c-853b-5955159a8561,8612784c-beb2-4a4b-afb5-050ac6c237ce,fruit,3.0,5,15.0,2013-10-30 13:30:52
22,719c5a7d-6ac5-4381-8fe4-5f7d0f3e0426,f71bbd6c-ac4d-4cca-89a2-407778899f5d,fruit,3.0,5,15.0,2021-04-07 03:09:31
23,b368a718-ac13-4d0e-b2ec-759df236a4bd,de288bbf-b9ab-4bb8-8456-cbd27c19d5d6,fruit,2.76,1,2.76,2012-06-21 20:08:00
24,e458ba68-c952-410b-9409-05a5a006e1c3,b348970b-28d3-4286-8bc4-f172da75cf58,fruit,3.55,1,3.55,2014-01-24 19:26:31
25,25216083-4945-467b-8b90-8e77060fb291,ece98501-d291-4a63-9989-ca88ad036fbe,fruit,3.28,4,13.12,2013-11-21 01:39:20
