,temperature,id,timestamp
0,2.96,1dca8a55-63f5-485b-82f9-a49c64df7c95,23-05-2019 10:42
1,1.88,786cc07d-54c9-4a51-ad6b-c5ccb7e0c17b,31-03-2019 13:28
2,1.78,d3306dab-fc36-4e9b-adde-e4d27652b00d,18-02-2022 19:01
3,2.18,5728e3dd-21d3-4783-b6de-7b7fcfb0c4b4,09-03-2017 00:33
4,1.38,5bc9e167-17d4-4a70-b734-90d7b021f473,24-01-2015 09:25
5,0.04,77f3d8fc-e9a6-4816-aae4-496c408ad879,02-12-2018 09:42
6,-28.34,d870a923-8590-413b-9838-91d7cc7c6283,26-02-2013 20:48
7,-2.47,f1cfd768-94d0-41e9-9480-cd5a5efcbb2d,18-11-2012 09:08
8,2.48,80a4976c-4a73-44f7-a407-a0f72eeb03f3,15-08-2013 12:12
9,-3.03,8f5941bd-17a0-4cb2-bb2e-32c5f6bc0f33,06-09-2018 19:40
10,1.89,546fef69-0d37-4833-b034-901fb4b9f21e,09-03-2020 14:20
11,0.62,5ee62639-8976-49fb-9e5b-b29adc7a08c1,23-01-2010 19:02
12,1.65,55d3df50-20e3-4610-b37c-c07bc55cfaf2,06-02-2021 18:35
13,1.08,651c74ce-618d-471b-9aba-36a436467c73,09-04-2016 13:40
14,2.48,5b06dbcf-509d-411d-bac0-e5dfd5f79d7a,02-04-2021 21:39
15,2.28,9968698d-0b80-46d9-96de-bcaf182f073c,02-11-2015 15:23
16,2.32,c45ec60f-c42d-432f-86b7-a879c3c291e4,30-10-2015 03:32
17,2.21,3ce79d84-4569-4193-bb87-3421aec2274b,30-12-2021 01:41
18,-1.51,daf09374-cce0-411b-9740-9155f71b72d4,15-12-2017 05:01
19,2.44,767e9fb3-00a7-4a82-8078-94561261f39f,01-06-2022 18:31
20,2.47,bcc2f115-1569-43a2-aee2-0c9987215210,11-04-2023 04:05
21,0.41,5911200c-103e-47dd-bf47-0b1c64302561,04-11-2016 07:10
22,20.01,aa286700-5fc6-461d-8bee-e30e0fddd21d,12-02-2015 12:56
23,0.12,dbfdf811-da69-4c9e-b208-22c9f5a72fad,28-10-2013 17:50
24,0.78,5055f512-49fb-4895-9cfa-07927d4a84c0,08-06-2023 13:46
25,-3.62,37226f22-3ba8-477b-947d-123b2ed421f6,27-07-2019 04:01
26,-2.26,7c94e06c-e03f-49f3-8e46-ba07d89705ba,25-08-2010 02:23
27,2.15,e614bf6c-7fd2-42d3-87b5-3a8819ed6cbd,29-08-2013 13:35
28,0.21,4b362e1a-5e13-4767-9905-a567348f8945,17-05-2021 02:52
29,27.85,f8d04d58-8fb0-47e8-90f0-ca8efbfde007,22-10-2015 05:05
30,-1.28,4506e8b2-a164-4a0d-9052-62a96de16f56,29-06-2022 15:47
31,0.74,7e76b91f-819e-4ff0-af11-ecb50b4ccfe5,04-06-2020 21:55
32,-3.32,e9dd613a-c4ec-439b-9f49-7c176b8982c2,24-08-2012 06:31
33,2.98,4656da8c-6de4-47ac-b608-37816cb16979,29-03-2013 12:17
34,-1.02,16dd048a-8058-4496-8b24-497f1aa4ac16,07-09-2011 12:42
35,2.3,5cf5bd94-7c05-4938-ac25-fffacb0e886e,17-06-2022 17:06
36,-17.95,6758cfc8-f536-4811-8606-ea38768a1c49,21-02-2019 15:44
37,-1.88,9548633e-f93f-4d27-b6e4-833a63496377,09-12-2023 18:47
38,-3.47,b64353cd-e967-4b73-9bbe-f336a45d3a3b,29-12-2022 18:22
39,-2.88,d0457326-bc64-4f32-9d87-a22d7e256d67,18-11-2012 00:29
40,-3.23,2719fcce-3df4-48cd-9c83-9c51346db0da,10-07-2011 19:14
41,-2.85,8a78acab-30fa-4909-8bcd-d73cc0ef365a,06-10-2018 22:07
42,-1.61,007e1969-5c9a-4ee7-b491-b7ef71a9cca2,06-01-2017 12:36
43,-1.96,f55e9bb5-d08d-4f79-8185-bbf5f5941a89,17-04-2010 19:52
44,-27.65,6d823df6-ae4f-417d-9eb4-02ef14777db1,31-01-2014 20:18
45,-3.49,189c5f4b-0f58-49a2-8a53-f8b5998e3e6e,25-10-2012 19:34
46,-2.78,b679f94f-1ad1-4fa5-a719-31d4faa5c7d0,06-10-2015 07:34
47,0.36,23a5a570-06e8-4e2d-98cc-7ab92cef2db7,14-05-2018 13:46
48,30.6,e5fc791d-bbeb-40dc-a321-a782709f3e73,19-03-2017 22:54
49,-27.86,b37af443-1227-4003-8861-202611b07d3c,04-10-2012 22:04
50,-2.22,b451afb1-d1ad-4dd9-ba23-b581834dd0d5,03-05-2018 21:16
51,-3.88,8210920d-622b-4e1c-b1eb-6c4912a74a93,17-04-2015 00:19
52,-2.7,8b26f566-02b7-4dc7-8d82-ad2294402b8d,10-07-2018 20:39
53,-1.46,cc1f6b86-4699-4d78-9d62-1f8d86098715,07-05-2010 17:08
54,-2.02,c828d32d-fac0-4361-a8a3-a3cdb8c601ab,05-02-2016 00:39
55,1.13,71e0834a-e055-491e-823f-f4ab256312c7,17-08-2017 06:15
56,-26.17,64e1a1da-b8cd-4beb-89e0-f203218d6390,09-03-2012 18:01
57,-1.23,6bab543d-8278-425c-b303-2c7842879690,19-03-2010 03:11
58,-3.72,319a9b84-0597-4e0f-b082-d188e9fa80f3,01-01-2013 13:58
59,-3,473a8c3c-e206-46fb-9348-6b832af811f0,09-09-2022 15:09
60,1.41,322456b6-a9c3-43a5-8e2f-e16d971cf578,10-09-2023 06:09
61,-2.42,7f45a758-7564-4da3-ae97-7a779293e40a,25-06-2022 20:49
62,-1.39,c647e66f-b217-4d40-bcbb-86ea9a562b38,05-08-2019 09:00
63,0.16,100c9660-c82d-4f12-b682-9ea221ecb686,28-12-2023 01:51
64,2.56,d91f1b08-7f08-4b08-9443-3c37bd731455,30-11-2019 00:51
65,2.97,4f8876b8-69c2-463b-8010-12bd394323c1,09-02-2023 03:29
66,2.73,2d812bb8-b1a0-4c50-9160-b5de5de73e98,08-09-2013 15:27
67,-1.16,2f4b1968-9b34-4b49-b683-f8deb476c19a,12-09-2016 22:04
68,1.37,a79c7519-f9f0-413f-9814-4519bcba168e,11-09-2010 02:58
69,0.51,e6bdbf84-1219-447d-8bcb-dc4d561d6cb7,13-10-2018 09:40
70,2.76,90f02852-27d7-4e7c-84ef-245b97e7b0bf,14-11-2015 00:19
